id,manifest,num,pages
4492263,https://www.digital.archives.go.jp/api/iiif/4492263/manifest.json,120-0002,123
4478685,https://www.digital.archives.go.jp/api/iiif/4478685/manifest.json,132-0005,123
4487576,https://www.digital.archives.go.jp/api/iiif/4487576/manifest.json,188-0001,123
1071061,https://www.digital.archives.go.jp/api/iiif/1071061/manifest.json,278-0169,123
4770431,https://www.digital.archives.go.jp/api/iiif/4770431/manifest.json,302-0010,123
4918006,https://www.digital.archives.go.jp/api/iiif/4918006/manifest.json,304-0303,123
4772242,https://www.digital.archives.go.jp/api/iiif/4772242/manifest.json,305-0265,123
4771177,https://www.digital.archives.go.jp/api/iiif/4771177/manifest.json,308-0072,123
4768554,https://www.digital.archives.go.jp/api/iiif/4768554/manifest.json,308-0215,123
3976114,https://www.digital.archives.go.jp/api/iiif/3976114/manifest.json,366-0078,123
5390245,https://www.digital.archives.go.jp/api/iiif/5390245/manifest.json,367-0046,123
5390381,https://www.digital.archives.go.jp/api/iiif/5390381/manifest.json,367-0052,123
5395584,https://www.digital.archives.go.jp/api/iiif/5395584/manifest.json,369-0059,123
4758305,https://www.digital.archives.go.jp/api/iiif/4758305/manifest.json,125-0002,122
4500935,https://www.digital.archives.go.jp/api/iiif/4500935/manifest.json,188-0001,122
4109542,https://www.digital.archives.go.jp/api/iiif/4109542/manifest.json,301-0020,122
4916348,https://www.digital.archives.go.jp/api/iiif/4916348/manifest.json,303-0001,122
4918158,https://www.digital.archives.go.jp/api/iiif/4918158/manifest.json,304-0308,122
4771235,https://www.digital.archives.go.jp/api/iiif/4771235/manifest.json,308-0086,122
5056843,https://www.digital.archives.go.jp/api/iiif/5056843/manifest.json,364-0071,122
5064877,https://www.digital.archives.go.jp/api/iiif/5064877/manifest.json,366-0041,122
4446492,https://www.digital.archives.go.jp/api/iiif/4446492/manifest.json,367-0050,122
4425816,https://www.digital.archives.go.jp/api/iiif/4425816/manifest.json,050-0005,121
4478691,https://www.digital.archives.go.jp/api/iiif/4478691/manifest.json,132-0005,121
4435418,https://www.digital.archives.go.jp/api/iiif/4435418/manifest.json,193-0013,121
4916251,https://www.digital.archives.go.jp/api/iiif/4916251/manifest.json,303-0001,121
4918188,https://www.digital.archives.go.jp/api/iiif/4918188/manifest.json,304-0310,121
4920463,https://www.digital.archives.go.jp/api/iiif/4920463/manifest.json,307-0186,121
1076861,https://www.digital.archives.go.jp/api/iiif/1076861/manifest.json,311-0292,121
5056920,https://www.digital.archives.go.jp/api/iiif/5056920/manifest.json,364-0076,121
3976119,https://www.digital.archives.go.jp/api/iiif/3976119/manifest.json,366-0078,121
4261765,https://www.digital.archives.go.jp/api/iiif/4261765/manifest.json,367-0050,121
5390478,https://www.digital.archives.go.jp/api/iiif/5390478/manifest.json,367-0064,121
1071800,https://www.digital.archives.go.jp/api/iiif/1071800/manifest.json,054-0002,120
4758357,https://www.digital.archives.go.jp/api/iiif/4758357/manifest.json,126-0003,120
4500873,https://www.digital.archives.go.jp/api/iiif/4500873/manifest.json,188-0001,120
4427758,https://www.digital.archives.go.jp/api/iiif/4427758/manifest.json,195-0003,120
593877,https://www.digital.archives.go.jp/api/iiif/593877/manifest.json,301-0031,120
4916223,https://www.digital.archives.go.jp/api/iiif/4916223/manifest.json,303-0001,120
